fluorochrome	flow_cytometry
HCSLipidTOXGreenPhospholipidosisReagent	0
HCSLipidTOXRedNeutralLipid	0
HCSLipidTOXRedPhospholipidosisReagent	0
HCSNuclearMaskBlueStain	0
HCSNuclearMaskDeepRed	0
HCSNuclearMaskRedStain	0
HelixNPBlue	1
HelixNPGreen	1
HelixNPNIR	1
Hoechst33258	1
Hoechst33342	1
HypoxiaGreen	0
Image-iTDEADGreenViabilityStain	0
Image-iTLipidPeroxidationSensor	0
Indo-1 (CalciumBound)	1
Indo-1 (CalciumFree)	1
JC-1	0
JC-10MitochondriaKit	0
JOE	0
JOJO-1	0
KIRAVIABlue520	1
KromeOrange	1
LDS751	0
LiveDeadFixableAqua	1
LiveDeadFixableBlue	1
LiveDeadFixableFarRed	1
LiveDeadFixableGreen	1
LiveDeadFixableLime	1
LiveDeadFixableNIR780	1
LiveDeadFixableNIR876	1
LiveDeadFixableOlive	1
LiveDeadFixableOrange	1
LiveDeadFixableRed	1
LiveDeadFixableScarlet	1
LiveDeadFixableViolet	1
LiveDeadFixableYellow	1
LiveDeadNIR775	1
LuciferYellow	0
LysoSensorBlue	0
LysoSensorGreen	0
LysoSensorYellowBlue (pH3.0)	0
LysoSensorYellowBlue (pH9)	0
LysosomeProbeDeepRed	0
LysosomeProbeGreen	0
LysosomeProbeNIR	0
LysosomeProbeOrange	0
LysosomeProbeRed	0
LysoTrackerBlue	0
LysoTrackerDeepRed	0
LysoTrackerGreen	0
LysoTrackerRed	0
LysoTrackerYellowHCK-123	0
Mag-fura-2	0
MagnesiumGreen	0
MarinaBlue	0
mBanana	1
mCherry	1
mHoneyDew	1
MitoHealthStain	0
MItoProbeTMRM	0
MitoSOXGreen	1
MitoSOXRed	1
MitoSpyGreenFM	1
MitoSpyNIR-DilC1	1
MitoSpyOrangeCMTMRos	1
MitoSpyRedCMXRos	1
MitoTrackerDeepRedFM	1
MitoTrackerGreenFM	1
MitoTrackerOrange	1
MitoTrackerRed	1
MitoTrackerRedFM	1
Monobromobimane (mBBr)	0
Monochlorobimane (mBCI)	0
mOrange	1
mPlum	1
mRaspberry	1
mScarlet	1
mTangerine	1
NADH	1
Naphthofluorescein	0
NBD	0
NeuroTrace435_455BlueFluorescentNisslStain	0
NeuroTrace515_535YellowFluorescentNisslStain	0
NeuroTrace530_615RedFluorescentNisslStain	0
NeuroTrace640_660DeepRedFluorescentNisslStain	0
NileBlue	0
NileRed (phospholipid)	0
NileRed (triglyceride)	0
NovaFluorBlue510	1
NovaFluorBlue530	1
NovaFluorBlue555	1
NovaFluorBlue585	1
NovaFluorBlue610-30S	1
NovaFluorBlue610-70S	1
NovaFluorBlue660-120S	1
NovaFluorBlue660-40S	1
NovaFluorBlue690	1
NovaFluorBlue725	1
NovaFluorBlue760	1
NovaFluorBlue800	1
NovaFluorRed660	1
NovaFluorRed685	1
NovaFluorRed700	1
NovaFluorRed710	1
NovaFluorRed725	1
NovaFluorRed755	1
NovaFluorUV765	1
NovaFluorViolet690	1
NovaFluorViolet745	1
NovaFluorViolet800	1
NovaFluorYellow570	1
NovaFluorYellow590	1
NovaFluorYellow610	1
NovaFluorYellow660	1
NovaFluorYellow690	1
NovaFluorYellow700	1
NovaFluorYellow730	1
NovaFluorYellow755	1
NovaFluorYellow810	1
OrangeActin	0
OregonGreen488	1
OregonGreen488BAPTA	0
OregonGreen514	0
PacificBlue	1
PacificGreen	1
PacificOrange	1
PE	1
PE-AlexaFluor610	1
PE-AlexaFluor680	1
PE-AlexaFluor700	1
PE-CF594	1
PE-Cy5	1
PE-Cy5.5	1
PE-Cy7	1
PE-Dazzle594	1
PE-eFluor610	1
PE-Fire640	1
PE-Fire700	1
PE-Fire744	1
PE-Fire810	1
PE-TexasRed	1
PE-Vio615	1
PE-Vio770	1
PerCP	1
PerCP-Cy5.5	1
PerCP-eFluor710	1
PerCP-Fire780	1
PerCP-Fire806	1
PerCP-Vio700	1
PicoGreenReagent	0
PO-PRO-1	1
PO-PRO-3	1
POPO-1	1
POPO-3	1
PremoCameleonCalciumSensor (CalciumBound)	0
PremoCameleonCalciumSensor (CalciumFree)	0
PrestoBlue	0
Pro-QDiamond	0
Pro-QEmerald300	0
PropidiumIodide	1
Qdot525	1
Qdot545	1
Qdot565	1
Qdot585	1
Qdot605	1
Qdot625	1
Qdot655	1
Qdot705	1
Qdot800	1
QnuclearDeepRedStain	0
Quinine	0
RealBlue545	1
RealBlue780	1
RealYellow586	1
ReAsH	0
RedFluor710	1
Resazurin	1
Resorufin	0
RFP	1
RH795	0
Rhod-2 (CalciumBound)	0
Rhod-5N (CalciumBound)	0
Rhodamine110	0
Rhodamine123	0
Rhodamine6G	0
RhodamineGreen	0
RhodamineRed	0
Riboflavin	0
ROX (carboxy-X-rhodamine)	0
SBFI (sodiumBound)	0
SBFI (sodiumFree)	0
SNARF1@PH6	0
SNARF1@PH9	0
SparkBlue488	1
SparkBlue515	1
SparkBlue550	1
SparkBlue574	1
SparkNIR685	1
SparkPlusB550	1
SparkPlusUV395	1
SparkRed718	1
SparkUV387	1
SparkViolet423	1
SparkViolet500	1
SparkViolet538	1
SparkYG570	1
SparkYG581	1
SparkYG593	1
StarBrightBlue700	1
StarBrightUV575	1
StarBrightUV740	1
StarBrightUV795	1
StarBrightViolet440	1
StarBrightViolet515	1
StarBrightViolet610	1
StarBrightViolet670	1
Sulforhodamine101	0
SuperBright436	1
SuperBright600	1
SuperBright645	1
SuperBright702	1
SuperBright780	1
SYBR14	0
SYBRGold	0
SYBRGreen	0
SYBRSafe	0
SYPROOrangeProteinGelStain	0
SYPRORubyProteinGelStain	0
SYTO11	1
SYTO13	1
SYTO14	1
SYTO16	1
SYTO17	1
SYTO40	1
SYTO41	1
SYTO42	1
SYTO43	1
SYTO44	1
SYTO45	1
SYTO59	1
SYTO60	1
SYTO61	1
SYTO62	1
SYTO80	1
SYTO81	1
SYTO82	1
SYTO83	1
SYTO84	1
SYTO85	1
SYTO9	1
SYTOXAADvanced	1
SYTOXBlue	1
SYTOXDeepRed	1
SYTOXGreen	1
SYTOXOrange	1
SYTOXRed	1
Tag-itViolet	1
TAMRA TRITC	1
tdTomato	1
TetraSpeckBlue	0
TetraSpeckOrange	0
TexasRed	1
ThiolTrackerViolet	0
TO-PRO-1	1
TO-PRO-3	1
TotalROSAssay520Nm	0
TOTO-1	1
TOTO-3	1
TRI-COLOR	0
TRITC	1
TubulinTrackerDeepRed	0
V450	1
V500	1
ViewRNAFastBlue	0
ViewRNAFastRed	0
Vio488	1
Vio515	1
Vio667	1
VioBlue	1
VioBright515	1
VioBright667	1
VioBrightFITC	1
VioGreen	1
VioletFluor450	1
VioletMembraneAsymmetryProbe (F2N12S)	0
VybrantDyeCycleGreen	1
VybrantDyeCycleOrange	1
VybrantDyeCycleRuby	1
VybrantDyeCycleViolet	1
X-Rhod-1 (CalciumBound)	0
X-Rhod-5F (CalciumBound)	0
XylanaseSubstrate	0
YeastVacuoleMembraneMarker (MDY-64)	0
YFP	1
YO-PRO-1	1
YO-PRO-3	1
YOYO-1	1
YOYO-3	1
ZombieAqua	1
ZombieB550	1
ZombieGreen	1
ZombieNIR	1
ZombieR685	1
ZombieR718	1
ZombieRed	1
ZombieUV	1
ZombieUV387	1
ZombieViolet	1
ZombieYellow	1
ZombieYG581	1
ZsGreen	1
