fluorochrome	type	nm	norm_intensity
Brilliant Blue700	em	695	100
Brilliant Blue700	ex	325	59
Brilliant Blue700	ex	476	100
Brilliant Blue700	ex	672	73
Brilliant Ultraviolet395	em	399	100
Brilliant Ultraviolet395	ex	347	100
Brilliant Ultraviolet496	em	399	13
Brilliant Ultraviolet496	em	493	100
Brilliant Ultraviolet496	ex	348	100
Brilliant Ultraviolet563	em	397	15
Brilliant Ultraviolet563	em	563	100
Brilliant Ultraviolet563	ex	349	100
Brilliant Ultraviolet563	ex	540	22
Brilliant Ultraviolet615	em	406	18
Brilliant Ultraviolet615	em	607	100
Brilliant Ultraviolet615	ex	350	100
Brilliant Ultraviolet615	ex	589	26
Brilliant Ultraviolet661	em	399	46
Brilliant Ultraviolet661	em	659	100
Brilliant Ultraviolet661	ex	349	100
Brilliant Ultraviolet661	ex	636	18
Brilliant Ultraviolet737	em	739	99
Brilliant Ultraviolet737	ex	347	100
Brilliant Ultraviolet737	ex	710	32
Brilliant Ultraviolet805	em	394	52
Brilliant Ultraviolet805	em	803	100
Brilliant Ultraviolet805	ex	348	100
Brilliant Ultraviolet805	ex	717	24
Brilliant Ultraviolet805	ex	785	64
Brilliant Violet421	em	423	100
Brilliant Violet421	em	449	46
Brilliant Violet421	ex	304	25
Brilliant Violet421	ex	406	100
Brilliant Violet480	em	478	100
Brilliant Violet480	ex	437	100
Brilliant Violet510	em	505	100
Brilliant Violet510	ex	312	100
Brilliant Violet510	ex	404	53
Brilliant Violet570	em	423	19
Brilliant Violet570	em	574	100
Brilliant Violet570	ex	406	100
Brilliant Violet570	ex	525	15
Brilliant Violet570	ex	557	26
Brilliant Violet605	em	602	100
Brilliant Violet605	ex	307	52
Brilliant Violet605	ex	406	100
Brilliant Violet605	ex	551	15
Brilliant Violet605	ex	587	25
Brilliant Violet650	em	423	16
Brilliant Violet650	em	646	100
Brilliant Violet650	ex	307	35
Brilliant Violet650	ex	407	100
Brilliant Violet650	ex	619	18
Brilliant Violet711	em	422	35
Brilliant Violet711	em	446	18
Brilliant Violet711	em	711	100
Brilliant Violet711	ex	406	100
Brilliant Violet711	ex	690	22
Brilliant Violet785	em	420	100
Brilliant Violet785	em	448	50
Brilliant Violet785	em	779	84
Brilliant Violet785	ex	406	100
Brilliant Violet785	ex	750	29
Brilliant Violet786	em	424	22
Brilliant Violet786	em	788	100
Brilliant Violet786	em	849	39
Brilliant Violet786	ex	405	100
Brilliant Violet786	ex	757	36
Calcein AM	em	515	100
Calcein AM	ex	494	100
Calcein Blue AM	em	448	100
Calcein Blue AM	ex	360	100
Calcein Red-Orange AM	em	592	100
Calcein Red-Orange AM	ex	575	100
Calcein Violet AM	em	452	100
Calcein Violet AM	ex	401	100
Calcium Crimson (calcium bound)	em	608	100
Calcium Crimson (calcium bound)	ex	589	100
Calcium Green	em	530	100
Calcium Green	ex	335	18
Calcium Green	ex	507	100
Calcium Orange	em	574	100
Calcium Orange	ex	353	11
Calcium Orange	ex	549	100
Calcium Sensor Dye eFluor514	em	516	100
Calcium Sensor Dye eFluor514	ex	494	100
Cascade Blue	em	419	100
Cascade Blue	ex	380	79
Cascade Blue	ex	402	100
CaspGLOW Fluorescein Active Caspase Assay	em	517	100
CaspGLOW Fluorescein Active Caspase Assay	ex	498	100
CaspGLOW Fluorescein Active Caspase-3 Assay	em	517	100
CaspGLOW Fluorescein Active Caspase-3 Assay	ex	498	100
CaspGLOW Fluorescein Active Caspase-8 Assay	em	517	100
CaspGLOW Fluorescein Active Caspase-8 Assay	ex	498	100
CaspGLOW Fluorescein Active Caspase-9 Assay	em	517	100
CaspGLOW Fluorescein Active Caspase-9 Assay	ex	498	100
Cell Proliferation Dye eFluor450	em	449	100
Cell Proliferation Dye eFluor450	ex	409	100
Cell Proliferation Dye eFluor670	em	633	41
Cell Proliferation Dye eFluor670	em	672	100
Cell Proliferation Dye eFluor670	ex	653	100
CellEvent Caspase-3_7 Green Assay	em	533	100
CellEvent Caspase-3_7 Green Assay	ex	511	100
CellEvent Red	em	609	100
CellEvent Red	ex	588	100
CellEvent Senescence Green	em	519	100
CellEvent Senescence Green	ex	498	100
CellMask Deep Red Actin	em	671	100
CellMask Deep Red Actin	ex	652	100
CellMask Deep Red plasma membrane stain	em	677	99
CellMask Deep Red plasma membrane stain	ex	659	100
CellMask Green Actin	em	513	100
CellMask Green Actin	ex	505	100
CellMask Orange Actin	em	572	100
CellMask Orange Actin	ex	543	100
CellMask Orange plasma membrane stain	em	571	100
CellMask Orange plasma membrane stain	em	608	47
CellMask Orange plasma membrane stain	ex	524	57
CellMask Orange plasma membrane stain	ex	556	100
CellROX Deep Red	em	663	100
CellROX Deep Red	ex	603	34
CellROX Deep Red	ex	646	100
CellROX Green	em	525	100
CellROX Green	ex	507	100
CellROX Orange	em	571	100
CellROX Orange	ex	553	100
CellTrace Blue	em	409	100
CellTrace Blue	ex	368	100
CellTrace Far Red	em	657	100
CellTrace Far Red	ex	630	100
CellTrace Oregon Green	em	526	100
CellTrace Oregon Green	ex	331	18
CellTrace Oregon Green	ex	498	100
CellTrace Violet	em	456	100
CellTrace Violet	ex	392	100
CellTrace Yellow	em	578	100
CellTrace Yellow	ex	552	100
CellTracker Blue CMF2HC	em	448	100
CellTracker Blue CMF2HC	ex	360	100
CellTracker Blue CMHC	em	448	100
CellTracker Blue CMHC	ex	360	100
CellTracker CM-Dil Dye	em	569	100
CellTracker CM-Dil Dye	ex	520	60
CellTracker CM-Dil Dye	ex	551	100
CellTracker Deep Red	em	657	100
CellTracker Deep Red	ex	630	100
CellTracker Green CMFDA	em	517	100
CellTracker Green CMFDA	ex	498	100
CellTracker Orange CMTMR	em	578	100
CellTracker Orange CMTMR	ex	552	100
CellTracker Red CMTPX	em	613	100
CellTracker Red CMTPX	ex	585	100
CFP	em	476	100
CFP	em	504	96
CFP	ex	434	100
CFP	ex	453	99
CFSE	em	517	100
CFSE	ex	498	100
Cy3	em	566	100
Cy3	ex	521	54
Cy3	ex	553	100
Cy3.5	em	590	100
Cy3.5	em	636	45
Cy3.5	ex	540	63
Cy3.5	ex	577	100
Cy7	em	776	100
Cy7	ex	751	100
CyQuant	em	523	100
CyQuant	ex	502	100
DAF-FM	em	519	100
DAF-FM	ex	495	100
Dansyl	em	526	100
Dansyl	ex	334	100
DAPI	em	462	100
DAPI	ex	359	100
Dapoxyl	em	580	100
Dapoxyl	ex	373	100
DCF	em	525	100
DCF	ex	504	100
DDAO	em	657	100
DDAO	ex	314	28
DDAO	ex	648	100
Deep Red Actin	em	512	100
Deep Red Actin	ex	505	100
Di-2-ANEPEQ (JPW 1114)	em	700	100
Di-2-ANEPEQ (JPW 1114)	ex	489	100
Di-3-ANEPPDHQ	em	682	100
Di-3-ANEPPDHQ	ex	484	100
Di-4-ANEPPDHQ	em	679	100
Di-4-ANEPPDHQ	ex	484	100
Di-4-ANEPPS	em	685	100
Di-4-ANEPPS	ex	482	100
Di-8-ANEPPS	em	631	100
Di-8-ANEPPS	ex	311	51
Di-8-ANEPPS	ex	467	100
DiA	em	586	100
DiA	ex	455	100
Dibromobimane (bBBr)	em	490	100
Dibromobimane (bBBr)	ex	395	100
DiD	em	670	100
DiD	ex	648	100
DiFMU (pH 3.0)	em	450	100
DiFMU (pH 3.0)	ex	320	100
DiFMU (pH 9.0)	em	450	100
DiFMU (pH 9.0)	ex	358	100
Dihydroethidium	em	582	100
Dihydroethidium	ex	380	60
Dihydroethidium	ex	499	100
DiI	em	569	100
DiI	ex	520	60
DiI	ex	551	100
DiO	em	506	100
DiO	ex	489	100
DiR	em	783	100
DiR	ex	750	100
DsRed	em	583	100
DsRed	ex	335	12
DsRed	ex	487	26
DsRed	ex	559	100
DsRed Dimer2	em	579	100
DsRed Dimer2	ex	335	13
DsRed Dimer2	ex	554	100
DyeCycle Green	em	533	100
DyeCycle Green	ex	506	100
DyeCycle Orange	em	563	100
DyeCycle Orange	ex	518	100
DyeCycle Violet	em	436	100
DyeCycle Violet	ex	370	100
DyLight 510-LS	em	572	100
DyLight 510-LS	ex	325	19
DyLight 510-LS	ex	494	100
DyLight 515-LS	em	658	100
DyLight 515-LS	ex	323	16
DyLight 515-LS	ex	522	100
DyLight 521-LS	em	673	100
DyLight 521-LS	em	766	15
DyLight 521-LS	ex	329	13
DyLight 521-LS	ex	533	100
DyLight350	em	432	100
DyLight350	ex	353	100
DyLight405	em	423	100
DyLight405	ex	378	87
DyLight405	ex	400	99
DyLight488	em	520	100
DyLight488	ex	493	100
DyLight549	em	569	100
DyLight549	ex	520	50
DyLight549	ex	553	100
DyLight550	em	570	100
DyLight550	ex	525	52
DyLight550	ex	556	100
DyLight594	em	614	100
DyLight594	ex	371	14
DyLight594	ex	394	12
DyLight594	ex	587	100
DyLight633	em	649	100
DyLight633	ex	620	100
DyLight650	em	673	100
DyLight650	ex	651	100
DyLight680	em	706	100
DyLight680	ex	676	100
DyLight755	em	773	100
DyLight755	ex	754	100
DyLight800	em	785	100
DyLight800	ex	770	100
ECD	em	562	25
ECD	em	614	100
ECD	ex	307	17
ECD	ex	373	13
ECD	ex	496	67
ECD	ex	566	100
ECD	ex	611	17
eFluor450	em	445	100
eFluor450	ex	405	100
eFluor506	em	509	100
eFluor506	ex	420	100
eFluor570	em	569	100
eFluor570	ex	523	51
eFluor570	ex	556	100
eFluor615	em	614	100
eFluor615	ex	595	100
eFluor660	em	668	100
eFluor660	ex	651	100
eFluor710	em	708	100
eFluor710	ex	642	34
eFluor710	ex	690	100
eGFP	em	510	100
eGFP	ex	489	100
ELF 97	em	536	100
ELF 97	ex	343	94
Eosin	em	545	100
Eosin	ex	525	100
Epoxide hydrolase substrate	em	450	100
Epoxide hydrolase substrate	ex	358	100
ER-Tracker Blue-White DPX	em	550	100
ER-Tracker Blue-White DPX	ex	372	100
ER-Tracker Green	em	511	100
ER-Tracker Green	ex	502	100
Ethidium homodimer	em	618	100
Ethidium homodimer	ex	528	100
eYFP	em	529	100
eYFP	ex	514	100
Fast Blue	em	753	100
Fast Blue	ex	343	47
Fast Blue	ex	361	48
Fast Blue	ex	610	97
Fast Blue	ex	628	95
Fast Blue	ex	663	100
FilmTracer calcein red-orange	em	592	100
FilmTracer calcein red-orange	ex	575	100
FilmTracer calcein violet	em	452	100
FilmTracer calcein violet	ex	401	100
FITC	em	517	100
FITC	ex	498	100
Fixable Viability Dye eFluor450	em	445	100
Fixable Viability Dye eFluor450	ex	405	100
Fixable Viability Dye eFluor455UV	em	455	100
Fixable Viability Dye eFluor455UV	ex	347	100
Fixable Viability Dye eFluor506	em	505	99
Fixable Viability Dye eFluor506	ex	410	84
Fixable Viability Dye eFluor520	em	523	100
Fixable Viability Dye eFluor520	ex	322	14
Fixable Viability Dye eFluor520	ex	493	100
Fixable Viability Dye eFluor660	em	657	100
Fixable Viability Dye eFluor660	ex	643	100
Fixable Viability Dye eFluor780	em	786	100
Fixable Viability Dye eFluor780	ex	753	100
FlAsH	em	531	100
FlAsH	ex	511	100
Fluo-3 (calcium bound)	em	527	100
Fluo-3 (calcium bound)	ex	507	100
Fluo-4 (calcium bound)	em	516	100
Fluo-4 (calcium bound)	ex	494	100
FluoroMyelin Green Fluorescent Myelin 	em	579	100
FluoroMyelin Green Fluorescent Myelin 	ex	473	100
FluoroMyelin Red Fluorescent Myelin 	em	726	100
FluoroMyelin Red Fluorescent Myelin 	ex	344	36
FluoroMyelin Red Fluorescent Myelin 	ex	506	100
FluoSpheres blue fluorescent microspheres	em	413	100
FluoSpheres blue fluorescent microspheres	ex	356	100
FluoSpheres crimson fluorescent microspheres	em	646	100
FluoSpheres crimson fluorescent microspheres	ex	620	100
FluoSpheres dark red fluorescent microspheres	em	684	100
FluoSpheres dark red fluorescent microspheres	ex	656	100
FluoSpheres nile red fluorescent microspheres	em	639	100
FluoSpheres nile red fluorescent microspheres	ex	536	100
FluoSpheres orange fluorescent microspheres	em	560	100
FluoSpheres orange fluorescent microspheres	ex	540	100
FluoSpheres red fluorescent microspheres	em	607	100
FluoSpheres red fluorescent microspheres	ex	577	100
FluoSpheres yellow-green fluorescent microspheres	em	514	100
FluoSpheres yellow-green fluorescent microspheres	ex	503	100
FluxOR Red	em	576	100
FluxOR Red	ex	552	100
FluxOR thallium indicator	em	521	100
