fluorochrome	type	nm	norm_intensity
NovaFluor Blue555	ex	537	42
NovaFluor Blue585	em	511	29
NovaFluor Blue585	em	586	100
NovaFluor Blue585	ex	492	100
NovaFluor Blue690	em	509	23
NovaFluor Blue690	em	582	22
NovaFluor Blue690	em	688	100
NovaFluor Blue690	ex	495	87
NovaFluor Blue690	ex	620	28
NovaFluor Blue690	ex	672	100
NovaFluor Blue725	em	511	59
NovaFluor Blue725	em	728	100
NovaFluor Blue725	ex	494	100
NovaFluor Blue725	ex	711	38
NovaFluor Blue760	em	509	19
NovaFluor Blue760	em	764	100
NovaFluor Blue760	ex	494	94
NovaFluor Blue760	ex	738	99
NovaFluor Blue800	em	510	14
NovaFluor Blue800	em	806	100
NovaFluor Blue800	ex	469	84
NovaFluor Blue800	ex	493	100
NovaFluor Blue800	ex	798	51
NovaFluor Red660	em	659	100
NovaFluor Red660	ex	636	100
NovaFluor Red685	em	686	100
NovaFluor Red685	ex	637	100
NovaFluor Red700	em	700	100
NovaFluor Red700	ex	637	100
NovaFluor Red700	ex	676	63
NovaFluor Red710	em	714	100
NovaFluor Red710	ex	637	100
NovaFluor Red710	ex	688	88
NovaFluor Red725	em	656	22
NovaFluor Red725	em	727	100
NovaFluor Red725	ex	636	100
NovaFluor Red725	ex	710	30
NovaFluor Red755	em	652	22
NovaFluor Red755	em	756	100
NovaFluor Red755	ex	636	100
NovaFluor Red755	ex	730	46
NovaFluor UV765	em	403	24
NovaFluor UV765	em	763	100
NovaFluor UV765	ex	356	85
NovaFluor UV765	ex	735	99
NovaFluor Violet690	em	691	100
NovaFluor Violet690	ex	408	56
NovaFluor Violet690	ex	622	25
NovaFluor Violet690	ex	675	100
NovaFluor Violet745	em	743	100
NovaFluor Violet745	ex	390	68
NovaFluor Violet745	ex	498	13
NovaFluor Violet745	ex	724	100
NovaFluor Violet800	em	478	18
NovaFluor Violet800	em	800	100
NovaFluor Violet800	ex	409	50
NovaFluor Violet800	ex	782	91
NovaFluor Yellow570	em	566	100
NovaFluor Yellow570	ex	521	55
NovaFluor Yellow570	ex	551	100
NovaFluor Yellow590	em	594	100
NovaFluor Yellow590	ex	563	100
NovaFluor Yellow610	em	566	14
NovaFluor Yellow610	em	614	100
NovaFluor Yellow610	ex	551	100
NovaFluor Yellow610	ex	597	20
NovaFluor Yellow660	em	564	18
NovaFluor Yellow660	em	664	100
NovaFluor Yellow660	ex	550	100
NovaFluor Yellow660	ex	651	29
NovaFluor Yellow690	em	564	20
NovaFluor Yellow690	em	690	100
NovaFluor Yellow690	ex	519	53
NovaFluor Yellow690	ex	551	100
NovaFluor Yellow690	ex	671	55
NovaFluor Yellow700	em	564	17
NovaFluor Yellow700	em	700	100
NovaFluor Yellow700	ex	519	53
NovaFluor Yellow700	ex	550	100
NovaFluor Yellow700	ex	679	51
NovaFluor Yellow730	em	591	39
NovaFluor Yellow730	em	730	100
NovaFluor Yellow730	ex	383	13
NovaFluor Yellow730	ex	551	100
NovaFluor Yellow730	ex	710	49
NovaFluor Yellow755	em	589	30
NovaFluor Yellow755	em	754	100
NovaFluor Yellow755	ex	551	100
NovaFluor Yellow755	ex	731	68
NovaFluor Yellow810	em	569	16
NovaFluor Yellow810	em	813	100
NovaFluor Yellow810	ex	517	65
NovaFluor Yellow810	ex	550	100
NovaFluor Yellow810	ex	806	37
Orange Actin	em	512	100
Orange Actin	ex	505	100
Oregon Green 488 BAPTA	em	522	100
Oregon Green 488 BAPTA	ex	493	100
Oregon Green488	em	526	100
Oregon Green488	ex	331	18
Oregon Green488	ex	498	100
Oregon Green514	em	532	100
Oregon Green514	ex	334	11
Oregon Green514	ex	513	100
Pacific Blue	em	455	100
Pacific Blue	ex	404	100
Pacific Green	em	501	100
Pacific Green	ex	414	100
Pacific Orange	em	552	100
Pacific Orange	ex	401	100
PE	em	575	100
PE	ex	307	11
PE	ex	497	69
PE	ex	565	100
PE-Alexa Fluor610	em	574	25
PE-Alexa Fluor610	em	626	100
PE-Alexa Fluor610	ex	307	17
PE-Alexa Fluor610	ex	373	13
PE-Alexa Fluor610	ex	496	67
PE-Alexa Fluor610	ex	566	100
PE-Alexa Fluor610	ex	611	17
PE-Alexa Fluor680	em	574	18
PE-Alexa Fluor680	em	702	100
PE-Alexa Fluor680	ex	344	16
PE-Alexa Fluor680	ex	371	15
PE-Alexa Fluor680	ex	498	69
PE-Alexa Fluor680	ex	569	100
PE-Alexa Fluor680	ex	685	60
PE-Alexa Fluor700	em	577	23
PE-Alexa Fluor700	em	721	100
PE-Alexa Fluor700	ex	499	65
PE-Alexa Fluor700	ex	566	100
PE-Alexa Fluor700	ex	699	57
PE-CF594	em	614	100
PE-CF594	ex	496	55
PE-CF594	ex	565	100
PE-Cy5	em	667	100
PE-Cy5	ex	497	68
PE-Cy5	ex	568	100
PE-Cy5.5	em	576	23
PE-Cy5.5	em	692	100
PE-Cy5.5	ex	304	14
PE-Cy5.5	ex	373	12
PE-Cy5.5	ex	497	69
PE-Cy5.5	ex	564	100
PE-Cy5.5	ex	677	22
PE-Cy7	em	577	44
PE-Cy7	em	780	100
PE-Cy7	ex	498	63
PE-Cy7	ex	568	100
PE-Cy7	ex	757	52
PE-Dazzle594	em	613	100
PE-Dazzle594	ex	307	11
PE-Dazzle594	ex	495	56
PE-Dazzle594	ex	565	100
PE-eFluor610	em	606	100
PE-eFluor610	ex	306	12
PE-eFluor610	ex	498	63
PE-eFluor610	ex	565	100
PE-Fire640	em	641	100
PE-Fire640	ex	495	64
PE-Fire640	ex	567	100
PE-Fire640	ex	622	32
PE-Fire700	em	572	17
PE-Fire700	em	696	100
PE-Fire700	ex	492	89
PE-Fire700	ex	562	100
PE-Fire700	ex	624	14
PE-Fire700	ex	680	50
PE-Fire810	em	804	100
PE-Fire810	ex	380	14
PE-Fire810	ex	495	72
PE-Fire810	ex	565	100
PE-Fire810	ex	785	67
PE-Texas Red	em	562	25
PE-Texas Red	em	614	100
PE-Texas Red	ex	307	17
PE-Texas Red	ex	373	13
PE-Texas Red	ex	496	67
PE-Texas Red	ex	566	100
PE-Texas Red	ex	611	17
PE-Vio615	em	623	100
PE-Vio615	ex	496	58
PE-Vio615	ex	567	100
PE-Vio770	em	781	100
PE-Vio770	ex	495	57
PE-Vio770	ex	567	100
PE-Vio770	ex	754	77
PerCP	em	675	100
PerCP	ex	441	89
PerCP	ex	482	100
PerCP	ex	673	28
PerCP-Cy5.5	em	679	100
PerCP-Cy5.5	ex	488	100
PerCP-Cy5.5	ex	515	98
PerCP-Cy5.5	ex	631	30
PerCP-Cy5.5	ex	674	90
PerCP-Fire780	em	775	100
PerCP-Fire780	ex	441	89
PerCP-Fire780	ex	482	100
PerCP-Fire780	ex	674	51
PerCP-Fire780	ex	754	72
PerCP-Fire806	em	803	100
PerCP-Fire806	ex	444	87
PerCP-Fire806	ex	483	100
PerCP-Fire806	ex	674	34
PerCP-Fire806	ex	785	79
PerCP-Vio700	em	677	100
PerCP-Vio700	em	707	87
PerCP-Vio700	ex	311	20
PerCP-Vio700	ex	443	81
PerCP-Vio700	ex	486	100
PerCP-Vio700	ex	634	23
PerCP-Vio700	ex	674	71
PicoGreen reagent	em	522	100
PicoGreen reagent	ex	367	11
PicoGreen reagent	ex	502	100
PO-PRO-1	em	457	100
PO-PRO-1	ex	434	100
PO-PRO-3	em	570	100
PO-PRO-3	ex	539	100
POPO-1	em	458	100
POPO-1	ex	433	100
POPO-3	em	573	100
POPO-3	ex	533	100
Premo Cameleon Calcium Sensor (calcium bound)	em	527	100
Premo Cameleon Calcium Sensor (calcium bound)	ex	462	28
Premo Cameleon Calcium Sensor (calcium bound)	ex	514	100
Premo Cameleon Calcium Sensor (calcium free)	em	476	29
Premo Cameleon Calcium Sensor (calcium free)	em	527	100
Premo Cameleon Calcium Sensor (calcium free)	ex	514	100
PrestoBlue	em	584	100
PrestoBlue	ex	571	100
Pro-Q Diamond	em	583	100
Pro-Q Diamond	ex	368	11
Pro-Q Diamond	ex	557	100
Pro-Q Emerald300	em	531	100
Pro-Q Emerald300	ex	332	67
Propidium Iodide	em	617	100
Propidium Iodide	ex	305	100
Propidium Iodide	ex	537	17
Qdot525	em	526	100
Qdot525	ex	300	100
Qdot545	em	543	100
Qdot545	ex	300	100
Qdot565	em	564	100
Qdot565	ex	300	100
Qdot585	em	588	100
Qdot585	ex	300	100
Qdot605	em	603	100
Qdot605	ex	300	100
Qdot625	em	621	100
Qdot625	ex	300	100
Qdot655	em	655	100
Qdot655	ex	300	100
Qdot705	em	701	100
Qdot705	ex	300	100
Qdot800	em	790	100
Qdot800	ex	300	100
Qnuclear Deep Red stain	em	657	100
Qnuclear Deep Red stain	ex	642	100
quinine	em	461	100
quinine	ex	319	82
quinine	ex	349	100
RealBlue 545 (RB545)	em	545	100
RealBlue 545 (RB545)	ex	351	22
RealBlue 545 (RB545)	ex	496	100
RealBlue 545 (RB545)	ex	524	82
RealBlue 780 (RB780)	em	523	19
RealBlue 780 (RB780)	em	782	98
RealBlue 780 (RB780)	ex	498	100
RealBlue 780 (RB780)	ex	759	13
RealYellow 586 (RY586)	em	587	100
RealYellow 586 (RY586)	ex	355	15
RealYellow 586 (RY586)	ex	565	100
ReAsH	em	607	100
ReAsH	ex	593	100
Red Fluorescent Protein (RFP)	em	584	100
Red Fluorescent Protein (RFP)	ex	554	100
Resazurin	em	584	100
Resazurin	ex	571	100
Resorufin	em	584	100
Resorufin	ex	571	100
RH795	em	687	99
RH795	ex	486	100
Rhod-2 (calcium bound)	em	577	100
Rhod-2 (calcium bound)	ex	553	100
Rhod-5N (calcium bound)	em	580	100
Rhod-5N (calcium bound)	ex	557	100
Rhodamine 6G	em	547	100
Rhodamine 6G	ex	525	100
Rhodamine Green	em	524	100
Rhodamine Green	ex	333	14
Rhodamine Green	ex	497	100
Rhodamine Red	em	591	100
Rhodamine Red	ex	535	46
Rhodamine Red	ex	573	100
Rhodamine110	em	520	100
Rhodamine110	ex	333	12
Rhodamine110	ex	497	100
Rhodamine123	em	529	100
Rhodamine123	ex	507	100
ROX (carboxy-X-rhodamine)	em	603	100
ROX (carboxy-X-rhodamine)	ex	370	11
ROX (carboxy-X-rhodamine)	ex	578	100
SBFI (sodium bound)	em	526	100
SBFI (sodium bound)	ex	337	100
SBFI (sodium free)	em	556	37
SBFI (sodium free)	ex	341	23
SNARF 1 @ pH 6	em	587	100
SNARF 1 @ pH 6	ex	381	31
SNARF 1 @ pH 6	ex	517	95
SNARF 1 @ pH 6	ex	549	100
SNARF 1 @ pH 9	em	640	100
SNARF 1 @ pH 9	ex	399	17
SNARF 1 @ pH 9	ex	576	100
Spark Blue515	em	511	100
Spark Blue515	ex	490	100
Spark Blue574	em	573	100
Spark Blue574	ex	331	30
Spark Blue574	ex	505	100
Spark NIR685	em	684	100
Spark NIR685	ex	669	100
Spark Red718	em	712	100
Spark Red718	ex	365	13
Spark Red718	ex	649	43
Spark Red718	ex	697	100
Spark Violet423	em	414	100
Spark Violet423	ex	378	78
Spark Violet423	ex	400	100
Spark Violet500	em	502	100
Spark Violet500	ex	392	100
Spark Violet538	em	536	100
Spark Violet538	ex	393	100
Spark YG570	em	563	100
Spark YG570	ex	513	39
Spark YG570	ex	547	99
Spark YG593	em	593	100
Spark YG593	ex	541	82
Spark YG593	ex	575	100
Sulforhodamine101	em	593	100
Sulforhodamine101	ex	314	15
Sulforhodamine101	ex	540	27
Sulforhodamine101	ex	578	100
SuperBright436	em	431	100
SuperBright436	em	459	50
SuperBright436	ex	414	100
SuperBright600	em	600	100
SuperBright600	ex	413	100
SuperBright600	ex	549	14
SuperBright600	ex	585	24
SuperBright645	em	645	100
SuperBright645	ex	414	100
SuperBright645	ex	628	25
SuperBright702	em	431	50
SuperBright702	em	457	26
SuperBright702	em	702	100
SuperBright702	ex	413	100
SuperBright702	ex	683	23
SuperBright780	em	432	68
SuperBright780	em	459	36
SuperBright780	em	780	100
SuperBright780	ex	412	100
SuperBright780	ex	755	32
SYBR 14	em	520	100
SYBR 14	ex	489	100
SYBR Gold	em	539	100
SYBR Gold	ex	496	100
SYBR Green	em	521	100
SYBR Green	ex	370	13
SYBR Green	ex	497	100
SYBR Safe	em	525	100
SYBR Safe	ex	509	100
SYPRO Orange protein gel stain	em	584	100
SYPRO Orange protein gel stain	ex	491	100
SYPRO Ruby protein gel stain	em	631	100
SYPRO Ruby protein gel stain	ex	468	100
SYTO 11	em	525	100
SYTO 11	ex	507	100
SYTO 13	em	506	100
SYTO 13	ex	488	100
SYTO 14	em	525	100
SYTO 14	ex	507	100
SYTO 16	em	520	100
SYTO 16	ex	489	100
SYTO 17	em	637	100
SYTO 17	ex	332	16
SYTO 17	ex	619	100
SYTO 40	em	375	17
SYTO 40	em	447	100
SYTO 40	ex	423	100
SYTO 41	em	374	11
SYTO 41	em	453	100
SYTO 41	ex	425	100
SYTO 42	em	376	30
SYTO 42	em	472	100
SYTO 42	ex	436	100
SYTO 43	em	473	100
SYTO 43	ex	442	100
SYTO 44	em	386	26
SYTO 44	em	477	100
SYTO 44	ex	449	100
SYTO 45	em	486	99
SYTO 45	ex	451	100
SYTO 59	em	644	100
SYTO 59	ex	322	14
SYTO 59	ex	622	100
SYTO 60	em	681	100
SYTO 60	ex	650	100
SYTO 61	em	651	100
SYTO 61	ex	618	100
SYTO 62	em	681	100
SYTO 62	ex	650	100
SYTO 80	em	613	100
SYTO 80	ex	536	100
SYTO 81	em	554	100
SYTO 81	ex	498	75
SYTO 81	ex	536	100
SYTO 82	em	559	100
SYTO 82	ex	540	100
SYTO 83	em	567	100
SYTO 83	em	696	19
SYTO 83	ex	543	100
SYTO 84	em	646	100
SYTO 84	ex	568	100
SYTO 85	em	590	100
SYTO 85	ex	569	100
SYTO 9	em	500	100
SYTO 9	ex	483	100
SYTOX AADvanced	em	646	100
SYTOX AADvanced	ex	547	100
SYTOX Blue	em	470	100
SYTOX Blue	ex	445	100
SYTOX Deep Red	em	680	100
SYTOX Deep Red	ex	613	36
SYTOX Deep Red	ex	660	100
SYTOX Orange	em	570	100
SYTOX Orange	ex	547	100
SYTOX Red	em	658	100
SYTOX Red	ex	641	100
TAMRA TRITC	em	578	100
TAMRA TRITC	ex	552	100
tdTomato	em	581	100
tdTomato	ex	555	100
TetraSpeck blue dye	em	442	100
TetraSpeck blue dye	ex	350	100
TetraSpeck orange dye	em	560	100
TetraSpeck orange dye	ex	540	100
Texas Red	em	613	100
Texas Red	ex	551	32
Texas Red	ex	595	100
ThiolTracker Violet	em	527	100
ThiolTracker Violet	ex	406	100
TO-PRO-1	em	531	100
TO-PRO-1	ex	515	100
TO-PRO-3	em	657	100
TO-PRO-3	ex	642	101
Total ROS Assay 520 nm	em	517	100
Total ROS Assay 520 nm	ex	498	100
TOTO-1	em	531	100
TOTO-1	ex	514	100
TOTO-3	em	661	100
TOTO-3	ex	341	14
TOTO-3	ex	642	100
TRI-COLOR	em	671	100
TRI-COLOR	ex	499	63
TRI-COLOR	ex	566	100
TRI-COLOR	ex	651	89
Tubulin Tracker Deep Red	em	676	100
Tubulin Tracker Deep Red	ex	653	100
V500	em	502	100
V500	ex	436	100
ViewRNA Fast Blue	em	753	100
ViewRNA Fast Blue	ex	343	47
ViewRNA Fast Blue	ex	361	48
ViewRNA Fast Blue	ex	610	97
ViewRNA Fast Blue	ex	628	95
ViewRNA Fast Blue	ex	663	100
ViewRNA Fast Red	em	674	100
ViewRNA Fast Red	ex	311	14
ViewRNA Fast Red	ex	365	11
ViewRNA Fast Red	ex	536	99
ViewRNA Fast Red	ex	572	100
VioBlue	em	450	100
VioBlue	ex	402	100
VioGreen	em	526	100
VioGreen	ex	386	100
Violet membrane asymmetry probe (F2N12S)	em	571	100
Violet membrane asymmetry probe (F2N12S)	ex	421	100
Vybrant DyeCycle Green	em	533	100
Vybrant DyeCycle Green	ex	506	100
Vybrant DyeCycle Orange	em	563	100
Vybrant DyeCycle Orange	ex	518	100
Vybrant DyeCycle Ruby	em	686	100
Vybrant DyeCycle Ruby	em	725	89
Vybrant DyeCycle Ruby	ex	603	87
Vybrant DyeCycle Ruby	ex	638	100
Vybrant DyeCycle Violet	em	436	100
Vybrant DyeCycle Violet	ex	370	100
X-Rhod-1 (calcium bound)	em	602	100
X-Rhod-1 (calcium bound)	ex	544	40
X-Rhod-1 (calcium bound)	ex	580	100
X-Rhod-5F (calcium bound)	em	607	100
X-Rhod-5F (calcium bound)	ex	582	100
Xylanase substrate	em	450	100
Xylanase substrate	ex	358	100
Yeast vacuole membrane marker (MDY-64)	em	498	100
Yeast vacuole membrane marker (MDY-64)	ex	458	100
YFP	em	529	100
YFP	ex	514	100
YO-PRO-1	em	507	100
YO-PRO-1	ex	491	100
YO-PRO-3	em	629	100
YO-PRO-3	ex	613	100
YOYO-1	em	508	100
YOYO-1	ex	490	100
YOYO-3	em	631	100
YOYO-3	ex	311	14
YOYO-3	ex	612	101
Zombie Aqua	em	510	100
Zombie Aqua	ex	382	100
Zombie B550	em	536	100
Zombie B550	ex	516	100
Zombie Green	em	515	100
Zombie Green	ex	312	22
Zombie Green	ex	491	100
Zombie R685	em	684	100
Zombie R685	ex	669	100
Zombie R718	em	713	100
Zombie R718	ex	363	13
Zombie R718	ex	697	100
Zombie Red	em	624	100
Zombie Red	ex	558	36
Zombie Red	ex	600	100
Zombie UV	em	456	100
Zombie UV	ex	360	100
Zombie Violet	em	422	100
Zombie Violet	ex	378	88
Zombie Violet	ex	400	100
Zombie Yellow	em	572	100
Zombie Yellow	ex	396	100
Zombie YG581	em	582	99
Zombie YG581	ex	525	31
Zombie YG581	ex	564	100
AmCyan	em	497	100
AmCyan	ex	467	100
APC-Alexa Fluor700	em	698	99
APC-Alexa Fluor700	ex	622	85
APC-Alexa Fluor700	ex	657	99
Apotracker Green	em	510	100
Apotracker Green	ex	500	99
ATTO390	em	475	100
ATTO390	ex	390	100
ATTO425	em	485	100
ATTO425	ex	439	100
ATTO465	em	505	100
ATTO465	ex	453	100
ATTO488	em	521	99
ATTO488	ex	309	17
ATTO488	ex	500	100
ATTO550	em	575	100
ATTO550	ex	554	100
ATTO590	em	622	100
ATTO590	ex	592	100
ATTO633	em	651	100
ATTO633	ex	309	14
ATTO633	ex	630	100
ATTO647N	em	664	100
ATTO647N	ex	319	13
ATTO647N	ex	598	27
ATTO647N	ex	646	100
ATTO680	em	697	100
ATTO680	ex	680	100
Brilliant Violet750	em	449	40
Brilliant Violet750	em	747	100
Brilliant Violet750	ex	407	99
Brilliant Violet750	ex	727	22
Calcein Red AM	em	576	100
Calcein Red AM	ex	303	41
Calcein Red AM	ex	563	100
Cascade Yellow	em	549	100
Cascade Yellow	ex	399	100
Cy5	em	664	99
Cy5	ex	645	99
Cytophase Violet	em	444	100
Cytophase Violet	ex	368	100
DRAQ5	em	678	100
DRAQ5	ex	305	42
DRAQ5	ex	597	100
DRAQ5	ex	643	88
DRAQ7	em	676	100
DRAQ7	ex	305	42
DRAQ7	ex	598	100
DRAQ7	ex	644	82
DsRed Express	em	588	100
DsRed Express	ex	484	38
DsRed Express	ex	555	100
dTomato	em	581	99
dTomato	ex	555	99
DyLight649	em	673	100
DyLight649	ex	651	100
eBFP	em	439	100
eBFP	ex	380	100
eCFP	em	477	100
eCFP	em	503	90
eCFP	ex	435	100
eCFP	ex	451	96
eFluor520 Fixable Viability	em	521	99
eFluor520 Fixable Viability	ex	321	14
eFluor520 Fixable Viability	ex	493	99
eFluor565	em	561	99
eFluor565	ex	302	89
eFluor565	ex	551	11
eFluor605	em	605	98
eFluor605	ex	301	98
eFluor650	em	654	98
eFluor650	ex	303	98
eFluor700	em	680	100
eFluor700	ex	300	100
Endoplasmic Reticulum Probe Green	em	511	100
Endoplasmic Reticulum Probe Green	ex	503	100
Endoplasmic Reticulum Probe Red	em	620	100
Endoplasmic Reticulum Probe Red	ex	588	100
Flash Phalloidin Green488	em	520	100
Flash Phalloidin Green488	ex	495	100
Flash Phalloidin NIR647	em	666	100
Flash Phalloidin NIR647	ex	647	100
Flash Phalloidin Red594	em	611	100
Flash Phalloidin Red594	ex	551	34
Flash Phalloidin Red594	ex	591	100
Helix NP Blue	em	470	100
Helix NP Blue	ex	431	100
Helix NP Green	em	525	100
Helix NP Green	ex	504	100
Helix NP NIR	em	657	100
Helix NP NIR	ex	638	100
JC-10 Mitochondria Kit	em	524	100
JC-10 Mitochondria Kit	ex	508	100
KIRAVIA Blue 520	em	517	100
KIRAVIA Blue 520	ex	495	100
LIVE_DEAD Fixable Red	em	613	100
LIVE_DEAD Fixable Red	ex	555	31
LIVE_DEAD Fixable Red	ex	595	100
Lysosome Probe Deep Red	em	619	100
Lysosome Probe Deep Red	ex	596	100
Lysosome Probe Green	em	509	100
Lysosome Probe Green	ex	500	100
Lysosome Probe NIR	em	650	100
Lysosome Probe NIR	ex	636	100
Lysosome Probe Orange	em	565	100
Lysosome Probe Orange	ex	543	100
Lysosome Probe Red	em	596	100
Lysosome Probe Red	ex	576	100
mCherry	em	610	100
mCherry	ex	344	23
mCherry	ex	366	12
mCherry	ex	586	100
MitoSpy Green FM	em	511	100
MitoSpy Green FM	ex	486	100
MitoSpy NIR-DilC1	em	658	100
MitoSpy NIR-DilC1	ex	640	100
MitoSpy Orange CMTMRos	em	576	100
MitoSpy Orange CMTMRos	ex	553	100
MitoSpy Red CMXRos	em	600	100
MitoSpy Red CMXRos	ex	578	100
MitoTracker Orange	em	575	100
MitoTracker Orange	ex	305	15
MitoTracker Orange	ex	551	100
NADH	em	464	99
NADH	ex	340	99
PE-Fire744	em	572	35
PE-Fire744	em	742	99
PE-Fire744	ex	380	14
PE-Fire744	ex	494	70
PE-Fire744	ex	565	100
PE-Fire744	ex	663	23
PE-Fire744	ex	722	45
PerCP-eFluor710	em	677	70
PerCP-eFluor710	em	709	99
PerCP-eFluor710	ex	441	88
PerCP-eFluor710	ex	483	99
PerCP-eFluor710	ex	639	14
PerCP-eFluor710	ex	674	45
redFluor710	em	705	100
redFluor710	ex	687	99
Riboflavin	em	531	100
Riboflavin	ex	445	26
Spark Blue488	em	516	100
Spark Blue488	ex	308	20
Spark Blue488	ex	333	11
Spark Blue488	ex	492	100
Spark Blue550	em	537	100
Spark Blue550	ex	318	12
Spark Blue550	ex	391	13
Spark Blue550	ex	516	100
Spark Plus B550	em	537	100
Spark Plus B550	ex	316	13
Spark Plus B550	ex	389	13
Spark Plus B550	ex	516	100
Spark Plus UV395	em	388	100
Spark Plus UV395	em	408	90
Spark Plus UV395	ex	355	100
Spark UV387	em	389	100
Spark UV387	ex	314	61
Spark UV387	ex	343	100
Spark UV387	ex	354	99
Spark YG581	em	582	99
Spark YG581	ex	528	31
Spark YG581	ex	564	100
StarBright Blue700	em	705	100
StarBright Blue700	ex	320	65
StarBright Blue700	ex	400	53
StarBright Blue700	ex	471	100
StarBright UV575	em	569	100
StarBright UV575	ex	340	100
StarBright UV740	em	735	99
StarBright UV740	ex	342	100
StarBright UV795	em	792	100
StarBright UV795	ex	340	100
StarBright Violet440	em	436	100
StarBright Violet440	em	464	41
StarBright Violet440	em	496	12
StarBright Violet440	ex	383	100
StarBright Violet515	em	516	100
StarBright Violet515	ex	402	100
StarBright Violet610	em	607	100
StarBright Violet610	ex	402	100
StarBright Violet670	em	667	100
StarBright Violet670	ex	400	100
SYTOX Green	em	524	100
SYTOX Green	ex	304	14
SYTOX Green	ex	504	100
Tag-it Violet	em	456	100
Tag-it Violet	ex	390	100
TRITC	em	578	100
TRITC	ex	552	100
V450	em	450	99
V450	ex	406	99
Vio488	em	512	99
Vio488	ex	489	99
Vio515	em	514	100
Vio515	ex	490	99
Vio667	em	667	100
Vio667	ex	645	100
VioBright FITC	em	522	99
VioBright FITC	ex	496	99
VioBright515	em	514	100
VioBright515	ex	489	99
VioBright667	em	667	100
VioBright667	ex	645	100
violetFluor450	em	449	99
violetFluor450	ex	404	99
Zombie NIR	em	746	100
Zombie NIR	ex	267	15
Zombie NIR	ex	719	99
Zombie UV387	em	389	100
Zombie UV387	ex	314	61
Zombie UV387	ex	343	100
Zombie UV387	ex	354	99
ZsGreen	em	515	100
ZsGreen	ex	504	100
